,FID,Id,lat,lon
0,0,0,31.45,115.25
1,1,0,31.45,115.35
2,2,0,31.55,114.75
3,3,0,31.55,114.85
4,4,0,31.55,114.95
5,5,0,31.55,115.05
6,6,0,31.55,115.25
7,7,0,31.55,115.35
8,8,0,31.65,114.65
9,9,0,31.65,114.75
10,10,0,31.65,114.85
11,11,0,31.65,114.95
12,12,0,31.65,115.05
13,13,0,31.65,115.15
14,14,0,31.65,115.25
15,15,0,31.65,115.35
16,16,0,31.65,115.45
17,17,0,31.75,114.45
18,18,0,31.75,114.65
19,19,0,31.75,114.75
20,20,0,31.75,114.85
21,21,0,31.75,114.95
22,22,0,31.75,115.05
23,23,0,31.75,115.15
24,24,0,31.75,115.25
25,25,0,31.75,115.35
26,26,0,31.75,115.45
27,27,0,31.75,115.55
28,28,0,31.85,113.85
29,29,0,31.85,114.05
30,30,0,31.85,114.15
31,31,0,31.85,114.25
32,32,0,31.85,114.35
33,33,0,31.85,114.45
34,34,0,31.85,114.55
35,35,0,31.85,114.65
36,36,0,31.85,114.75
37,37,0,31.85,114.85
38,38,0,31.85,114.95
39,39,0,31.85,115.05
40,40,0,31.85,115.15
41,41,0,31.85,115.25
42,42,0,31.85,115.35
43,43,0,31.85,115.45
44,44,0,31.85,115.55
45,45,0,31.85,115.65
46,46,0,31.85,115.75
47,47,0,31.85,115.85
48,48,0,31.95,113.85
49,49,0,31.95,113.95
50,50,0,31.95,114.05
51,51,0,31.95,114.15
52,52,0,31.95,114.25
53,53,0,31.95,114.35
54,54,0,31.95,114.45
55,55,0,31.95,114.55
56,56,0,31.95,114.65
57,57,0,31.95,114.75
58,58,0,31.95,114.85
59,59,0,31.95,114.95
60,60,0,31.95,115.05
61,61,0,31.95,115.15
62,62,0,31.95,115.25
63,63,0,31.95,115.35
64,64,0,31.95,115.45
65,65,0,31.95,115.55
66,66,0,31.95,115.65
67,67,0,31.95,115.75
68,68,0,31.95,115.85
69,69,0,32.05,113.85
70,70,0,32.05,113.95
71,71,0,32.05,114.05
72,72,0,32.05,114.15
73,73,0,32.05,114.25
74,74,0,32.05,114.35
75,75,0,32.05,114.45
76,76,0,32.05,114.55
77,77,0,32.05,114.65
78,78,0,32.05,114.75
79,79,0,32.05,114.85
80,80,0,32.05,114.95
81,81,0,32.05,115.05
82,82,0,32.05,115.15
83,83,0,32.05,115.25
84,84,0,32.05,115.35
85,85,0,32.05,115.45
86,86,0,32.05,115.55
87,87,0,32.05,115.65
88,88,0,32.05,115.75
89,89,0,32.05,115.85
90,90,0,32.15,113.85
91,91,0,32.15,113.95
92,92,0,32.15,114.05
93,93,0,32.15,114.15
94,94,0,32.15,114.25
95,95,0,32.15,114.35
96,96,0,32.15,114.45
97,97,0,32.15,114.55
98,98,0,32.15,114.65
99,99,0,32.15,114.75
100,100,0,32.15,114.85
101,101,0,32.15,114.95
102,102,0,32.15,115.05
103,103,0,32.15,115.15
104,104,0,32.15,115.25
105,105,0,32.15,115.35
106,106,0,32.15,115.45
107,107,0,32.15,115.55
108,108,0,32.15,115.65
109,109,0,32.15,115.75
110,110,0,32.15,115.85
111,111,0,32.25,113.75
