区域,房源维护时间,房源编号,租赁方式,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
房山 良乡 行宫园三里,2020/4/19,BJ2499206787329703936,整租,3室1厅1卫,81㎡,#,吴冬雪,81㎡,南 北,3天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2200,2200,0,2200
海淀 西山 门头馨村,2020/4/20,BJ2499064233556180992,整租,1室1厅1卫,60㎡,#,郭栋,60㎡,南,2天前,随时入住,高楼层/4层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4200,4200,0,4200
通州 万达 西营前街,2020/4/15,BJ2499229702750224384,整租,1室1厅1卫,27㎡,#,袁鸣,27㎡,北,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2100,2100,0,2100
房山 良乡 宜春里,2020/4/12,BJ2498323525845393408,整租,3室1厅1卫,69㎡,精装修,杜坤,69㎡,南 北,10天前,2020/4/29,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2600,2600,0,2600
朝阳 东坝 红松园1号院,2020/4/18,BJ2498417218426249216,整租,2室1厅1卫,57㎡,#,杨康乐,57㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,4300,4300,0,4300
朝阳 首都机场 首都机场南路西里,2020/4/19,BJ2497707793931304960,整租,2室1厅1卫,56㎡,#,赵越,56㎡,南 北,3天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4100,4100,0,4100
房山 良乡 花园巷小区,2020/4/19,BJ2497702744182497280,整租,2室1厅1卫,72㎡,#,邓浩,72㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2600,2600,0,2600
顺义 顺义城 石园西区,2020/4/16,BJ2497659987967344640,整租,2室1厅1卫,58㎡,精装修,秦冬梅,58㎡,南 北,6天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,2900,2900,0,2900
朝阳 十里河 周庄嘉园6号院,2020/4/21,BJ2498314818990653440,整租,1室1厅1卫,56㎡,#,秦晨曦,56㎡,南,1天前,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4500,4500,0,4500
朝阳 定福庄 金星小区,2020/4/20,BJ2499763981363978240,整租,2室1厅1卫,58㎡,精装修,徐晓楠,58㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4500,4500,0,4500
海淀 海淀北部新区 凯盛家园,2020/4/21,BJ2498376768524648448,整租,1室1厅1卫,61㎡,#,沈春柳,61㎡,南,1天前,随时入住,中楼层/15层,无,免费使用,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3700,3700,0,3700
西城 白纸坊 建功北里,2020/4/15,BJ2497852066295185408,整租,1室1厅1卫,48㎡,#,郭伟文,48㎡,南,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800
朝阳 定福庄 金星小区,2020/4/18,BJ2498601694586748928,整租,1室1厅1卫,51㎡,精装修,黄姚,51㎡,西,4天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4100,4100,0,4100
朝阳 定福庄 电建北院,2020/4/17,BJ2497748315421286400,整租,2室1厅1卫,58㎡,精装修,江志鹏,58㎡,南,5天前,随时入住,高楼层/5层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0,5000
朝阳 石佛营 八里庄北里小区,2020/4/20,BJ2497780886934921216,整租,1室1厅1卫,42㎡,精装修,李强,42㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,4800,4800,0,4800
朝阳 定福庄 定福庄西街,2020/4/22,BJ2498379846037028864,整租,1室1厅1卫,52㎡,#,李迦南,52㎡,南,今天,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4300,4300,0,4300
东城 东花市 东花市北里中区,2020/4/22,BJ2497595705712189440,整租,1室1厅1卫,49㎡,精装修,杨强,49㎡,东,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5200,5200,0,5200
朝阳 安贞 安华里社区,2020/4/22,BJ2498302830478639104,整租,1室1厅1卫,44㎡,#,谷雷,44㎡,西,今天,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0,4500
朝阳 豆各庄 朝丰家园,2020/4/20,BJ2497744931750150144,整租,2室1厅1卫,78㎡,#,贾晨念,78㎡,南 北,2天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,4100,4100,0,4100
朝阳 双桥 乐栋300,2020/4/14,BJ2499221202086658048,整租,2房间1卫,41㎡,精装修,张会然,41㎡,东南,8天前,随时入住,高楼层/4层,有,租用车位,民水,民电,无,自采暖,2年以内,需提前预约,需咨询,4500,4500,0,4500
朝阳 南沙滩 南沙滩小区,2020/4/18,BJ2499972311948460032,整租,1室1厅1卫,40㎡,#,程龙,40㎡,东,4天前,2020/4/30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5000,5000,0,5000
朝阳 管庄 管庄西里,2020/4/22,BJ2499909576997216256,整租,2室1厅1卫,60㎡,精装修,李世杰,60㎡,南 北,今天,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500
